feature,good_mean,bad_mean,wrong_mean,d_good_vs_bad,d_long,d_short,d_h1,d_h2,good_n,bad_n
dl2_net_opposing_flow_30m,875.0128,136.2172,-220.8143,0.1396,0.091,0.2016,0.2372,0.0487,123,774
dl2_opposing_large_cancel_5m,38883.8293,41559.9767,46269.1151,-0.1388,-0.0138,-0.2485,-0.0865,-0.2505,123,774
dl2_inband_supp_refill_ratio_60m,1.0006,1.0005,1.0004,0.1347,0.1202,0.1543,0.0401,0.2571,123,774
dl2_opposing_large_add_5m,37237.4797,39662.2881,44221.2014,-0.1344,-0.0088,-0.2446,-0.0763,-0.2563,123,774
dl2_n_cancel_ask_5m,123906.6585,132058.7403,146315.0144,-0.1342,-0.0358,-0.2256,-0.1078,-0.2473,123,774
dl2_spread_max_5m_bps,0.043,0.0556,0.074,-0.134,-0.0783,-0.1838,-0.1101,-0.1787,122,716
dl2_n_large_cancel_ask_5m,38551,41050.6214,45348.3022,-0.1328,-0.0138,-0.2428,-0.0733,-0.2455,123,774
dl2_n_add_ask_5m,122787.9919,130551.1305,144693.6763,-0.1298,-0.0306,-0.2221,-0.1024,-0.2482,123,774
dl2_n_large_add_ask_5m,36969.7724,39226.8553,43380.7338,-0.1281,-0.0088,-0.2379,-0.0662,-0.2459,123,774
dl2_net_opposing_flow_1m,-280.248,-674.83,-850.3573,0.1245,0.034,0.2055,0.0226,0.2296,123,774
